1459387,20054
1459439,19942
1459491,19766
1459543,19644
1459596,19561
1459648,19506
1459700,19505
1459752,19515
1459804,19515
1459856,19540
1459908,19597
1459960,19654
1460012,19717
1460064,19782
1460116,19836
1460168,19899
1460220,19921
1460272,19824
1460324,19701
1460376,19582
1460428,19502
1460480,19474
1460532,19475
1460584,19500
1460636,19535
1460688,19581
1460740,19652
1460792,19709
1460844,19789
1460896,19855
1460948,19817
1461000,19699
1461052,19565
1461104,19455
1461156,19409
1461208,19413
1461260,19419
1461312,19440
1461364,19476
1461416,19529
1461468,19598
1461520,19676
1461572,19748
1461625,19818
1461677,19848
1461729,19736
1461781,19593
1461833,19461
1461885,19461
1461937,19386
1461989,19379
1462041,19394
1462093,19389
1462145,19417
1462197,19491
1462249,19563
1462301,19625
1462353,19716
1462405,19819
1462457,19899
1462509,19986
1462561,19926
1462613,19743
1462665,19608
1462717,19544
1462769,19484
1462821,19446
1462873,19470
1462925,19531
1462977,19569
1463029,19616
1463081,19685
1463133,19798
1463185,19888
1463237,19942
1463289,19983
1463341,20083
1463393,20046
1463445,19924
1463497,19780
1463549,19669
1463601,19622
1463654,19627
1463706,19668
1463758,19724
1463810,19769
1463862,19797
1463914,19906
1463966,19906
1464018,20003
1464070,20043
1464122,20117
1464174,20171
1464226,20078
1464278,19949
1464330,19828
1464382,19790
1464434,19802
1464486,19805
1464538,19841
1464590,19895
1464642,19939
1464694,20008
1464746,20068
1464798,20135
1464850,20236
1464902,20256
1464954,20218
1465006,20120
1465058,19998
1465110,19889
1465162,19837
1465214,19852
1465266,19879
1465318,19880
1465370,19936
1465422,19980
1465474,20052
1465526,20103
1465578,20175
1465630,20244
1465683,20299
1465735,20250
1465787,20131
1465839,20021
1465891,19878
1465943,19800
1465995,19800
1466047,19835
1466099,19857
1466151,19871
1466203,19891
1466255,19925
1466307,19970
1466359,20057
1466411,20151
1466463,20229
1466515,20229
1466567,20217
1466619,20142
1466671,20004
1466723,19887
1466775,19803
1466827,19766
1466879,19775
1466931,19854
1466983,19922
1467035,19939
1467087,20009
1467139,20093
1467191,20179
1467243,20265
1467295,20326
1467347,20401
1467399,20355
1467451,20262
1467503,20155
1467555,20070
1467607,20029
1467659,20013
1467712,20025
1467764,20032
1467816,20046
1467868,20094
1467920,20175
1467972,20238
1468024,20295
1468076,20295
1468128,20290
1468180,20201
1468232,20141
1468284,20080
1468336,20066
1468388,20060
1468440,20107
1468492,20124
1468544,20153
1468596,20210
1468648,20281
1468700,20359
1468752,20408
1468804,20349
1468856,20250
1468908,20177
1468960,20103
1469012,20088
1469064,20092
1469116,20125
1469168,20159
1469220,20196
1469272,20250
1469324,20307
1469376,20395
1469428,20433
1469480,20381
1469532,20281
1469584,20179
1469636,20112
1469688,20092
1469741,20098
1469793,20106
1469845,20134
1469897,20168
1469949,20230
1470001,20301
1470053,20362
1470105,20362
1470157,20436
1470209,20510
1470261,20470
1470313,20367
1470365,20277
1470417,20186
1470469,20148
1470521,20151
1470573,20163
1470625,20186
1470677,20220
1470729,20282
