acc_x_std,acc_y_std,acc_z_std,rot_x_std,rot_y_std,rot_z_std,acc_mag_mean,acc_mag_std,acc_mag_peak,rot_mag_mean,rot_mag_std,rot_mag_peak,acc_main_freq,acc_main_freq_amp,rot_main_freq,rot_main_freq_ratio,acc_peak_count,rot_zero_crossing_rate,label,subject
0.012836695011515934,0.012129500905140457,0.008390376658770638,0.040886556705533865,0.06406203707903688,0.059430982707645796,0.016703641691465362,0.011405762305735962,0.05396860503071319,0.0772065084184894,0.06809262463381426,0.29448620256221375,0.25,0.7617249879681424,0.25,0.16515461745536095,7,12,0,sub_10
0.016127334259064482,0.018736106571625888,0.010458682992883472,0.061490383917651055,0.09340871557865159,0.08044716352231118,0.022121588568286193,0.016327768717141655,0.10479447046263328,0.11206454526921818,0.08549462637765455,0.39641618651357774,0.25,1.2456440877432804,0.25,0.0920504492112336,12,20,0,sub_10
0.0025275172504477497,0.0027135385827299265,0.0019441538155688688,0.0040849294702257335,0.00758820141166735,0.004543676992288918,0.015129108720449657,0.002954012505326624,0.01580291840838665,0.008563600572988873,0.004788397498736343,0.02215531366853207,4.0,0.1669927779731589,0.5,0.11699391917073541,0,20,0,sub_10
0.0016243645669307104,0.0019147702103153284,0.0013896247289822492,0.0022776875036746853,0.006450535151017974,0.002889553764956585,0.016776025270734213,0.002009485101537094,0.011237008000135806,0.006700532332498621,0.0034017418524545564,0.013611614731927691,2.75,0.1000100948123319,0.5,0.0831807281010522,0,24,0,sub_10
0.0015482011151911124,0.0014562891863568856,0.0010541677632972038,0.0017027234992575428,0.005673185292559249,0.002484780000624565,0.017914123350688163,0.0017102065424802445,0.008587032777568126,0.005720209672106968,0.0033194994898833033,0.013676665073730387,2.25,0.09036424674306091,0.5,0.1382502610610215,0,18,0,sub_10
0.0014618671007225698,0.0012370502338320774,0.0010426428972567798,0.0015809803595740397,0.005431326467583271,0.0023054334099198845,0.018248425848361807,0.0015184133842449773,0.008715062269027905,0.005328155730605203,0.0031306799146861744,0.013104974340818552,2.25,0.08114577143308453,0.5,0.08810157847235711,0,23,0,sub_10
0.00205293852107753,0.0021170419188962695,0.0015400743699172435,0.002175972548127348,0.007001155155085081,0.0026784147249130055,0.01797589949888304,0.002255336188702268,0.014959175042429775,0.006574373253826995,0.004219199128669251,0.020709334877124404,2.0,0.12793842109557402,0.5,0.08207621053342826,0,23,0,sub_10
0.004607304820580449,0.003890410931058042,0.002960089192892505,0.006410036257504603,0.022685442479046285,0.007984959961997964,0.018341135948269898,0.0043126036173634546,0.021429806818037585,0.015766244980836838,0.020480421658253128,0.10963230792198374,2.5,0.2992829158361345,0.5,0.10205313207704346,2,15,0,sub_10
0.0047498430366650895,0.003795813119425125,0.003089072134955579,0.008228921080967923,0.025001182929790786,0.009089611761528836,0.01773079316199515,0.004551016391792153,0.021429806818037585,0.01930202048254723,0.0201136717565522,0.10962956158452494,2.5,0.3346980772330494,0.25,0.08955174017904123,3,11,0,sub_10
0.002408043173979859,0.002196802546101037,0.0018545682197546732,0.0047040978084797146,0.010933133202495898,0.004350777648257342,0.016587628544180152,0.0026371239669218138,0.016293389281982904,0.010894765948568022,0.008388420751018283,0.044037168972512405,2.25,0.1364550698184277,0.25,0.0934594058031765,0,20,0,sub_10
0.00228914598302424,0.0017609841708669614,0.0022669827349089096,0.002779903383860631,0.009176055587315244,0.0033523179099230315,0.017994673990588864,0.0028714211348107293,0.014492662803040957,0.008356021967152865,0.005838230925088396,0.02717103681320115,0.25,0.18871420725774027,0.5,0.09343487761373422,0,25,0,sub_10
0.002216505726667765,0.0020422974694199202,0.002058003898011627,0.002417671476519258,0.008193277050601633,0.003331846857661791,0.020862843433217804,0.002865767074354621,0.014614718475222395,0.007367951398123329,0.005530779112466195,0.02767202086846205,2.5,0.1894264607076353,0.5,0.09576925053779033,0,25,0,sub_10
0.011356508893184318,0.01577782431938441,0.007325786370491264,0.04809349514102868,0.07055086161992666,0.052773089808527164,0.015599384925670274,0.015370103038729842,0.10479447046263328,0.06195994738631184,0.08079151818406712,0.39867976264327215,0.25,1.2560482316966846,0.25,0.14931023690368347,9,8,0,sub_10
0.0015267642046511364,0.001969924236070009,0.0013498349116406799,0.0017316170887464845,0.005378643473011999,0.0027154622850613895,0.023010958195122423,0.001792515157632546,0.009361131123817791,0.005226879850748889,0.0035718894637481657,0.018484904175312313,0.25,0.10513112885969841,0.5,0.13526108659456584,0,21,0,sub_10
0.0029962316206713687,0.0036105111927675656,0.001771154253405393,0.0036219871522135097,0.009126091061631937,0.005862347324544635,0.02394433104265511,0.0028806169965401164,0.01808250386512409,0.009111745788570902,0.007133097470822931,0.03648619279354754,3.5,0.14322803175790177,0.75,0.08845711638171784,0,19,0,sub_10
0.006857748041486991,0.0044636171681916095,0.0043212896428116284,0.008947416829924447,0.01847666116201254,0.011030164651277841,0.024786746591797523,0.00635350620160457,0.035687133132056244,0.018320113281375235,0.01443260088517578,0.06643889213149702,2.75,0.37765663719495507,0.25,0.12247674393378338,2,20,0,sub_10
0.00639301556515974,0.0038225291777622796,0.0041053060730200175,0.008532405889339206,0.017311982778774642,0.009759238449850242,0.02458001816032488,0.006008254350717377,0.035687133132056244,0.015683913549021947,0.014894008843558659,0.06701557015842671,2.75,0.442182333672266,0.25,0.13230932120449623,3,17,0,sub_10
